ticker,stockRating,valuation,financialHealth,businessModel,businessOperation,rsRating,taScore,highestPrice,lowestPrice,priceChange3m,priceChange1y,beta,alpha
BLI,2.8,4.6,3.6,3.0,2.8,1.8,1.0,18022.9,10657.0,-0.22,-0.281,0.53,-0.0001
BLN,,3.0,2.4,,1.7,,,12686.7,6000.0,0.102,-0.306,0.59,0.0023
BLT,,2.8,3.2,,1.6,,,38031.2,18391.1,0.107,0.297,-0.18,0.0023
BLW,,1.8,4.2,3.5,2.8,,,20100.0,16500.0,0.0,0.215,0.03,0.0009
BMC,2.8,4.3,4.2,3.5,2.8,1.2,1.0,30107.7,9440.0,-0.32,-0.492,1.32,-0.0005
BMD,,3.8,3.2,,2.6,,,15100.0,5400.0,1.796,1.796,-0.06,0.0047
BMF,,3.3,4.0,,2.5,,,39700.0,16200.0,1.451,0.575,0.02,0.0037
BMG,,2.1,3.2,,1.5,,,29800.0,8900.0,1.49,0.191,0.38,0.0028
BMI,2.5,3.1,3.6,3.0,2.1,2.2,1.0,44375.0,16650.0,-0.31,-0.453,1.36,-0.0005
BMJ,2.8,1.5,5.0,,2.9,3.8,1.0,20050.6,8042.4,-0.113,0.767,0.49,0.0045
BMN,,3.5,3.4,,2.0,,,39500.0,7800.0,0.079,-0.248,-0.15,0.0016
BMP,3.2,3.1,5.0,3.2,2.0,4.0,2.0,65200.0,50091.4,0.003,0.045,0.78,0.0015
BMS,3.1,3.0,5.0,2.9,3.7,2.7,1.0,22536.9,3954.0,-0.473,-0.722,1.42,-0.0027
BMV,,1.6,4.2,3.5,1.3,,,20800.0,13714.4,0.395,0.517,-0.02,0.002
BNA,2.7,3.9,3.8,3.0,2.1,2.7,1.0,36223.2,9907.2,-0.221,-0.658,1.01,-0.0025
BNW,3.3,2.9,4.8,3.5,1.6,3.6,,8700.4,8700.0,0.0,0.0,0.0,0.0
BOT,2.2,2.9,1.6,3.0,1.7,3.1,1.0,17886.0,2693.0,-0.472,-0.785,1.07,-0.0037
BPC,2.2,3.3,3.4,,1.1,,1.0,14455.2,6700.0,-0.259,-0.424,0.28,-0.0013
BQB,,3.9,3.6,,1.0,,,9525.0,3200.0,0.023,-0.543,0.64,-0.0009
BRC,3.5,4.3,4.4,,2.3,3.2,,16468.4,10000.0,-0.1,-0.28,0.1,-0.0008
BRR,3.3,1.5,4.2,2.8,4.1,4.1,3.0,28616.6,16540.0,0.35,0.087,0.11,0.0023
BRS,,3.4,3.2,,3.5,,,36367.0,19346.0,-0.304,-0.13,-0.15,0.0002
BSA,3.0,3.1,4.4,3.0,3.0,3.7,1.0,18469.1,14552.1,-0.007,0.117,0.11,0.0009
