ticker,year,quarter,investCost,fromInvest,fromFinancial,fromSale,freeCashFlow
SCD,2022,3,0,0,70,-84,29.0
SC5,2022,3,0,2,123,-311,332.0
SBV,2022,3,-2,-2,-17,21,38.0
SBT,2022,3,-46,-174,-49,142,1134.0
SBR,2022,3,-3,0,-10,19,45.0
SBM,2022,3,3,3,-74,81,138.0
SBL,2022,3,0,0,-5,7,16.0
SBH,2022,3,-8,176,-310,93,935.0
SBA,2022,3,-1,0,-89,17,209.0
SAV,2022,3,-2,-1,-11,25,45.0
SAS,2022,3,-62,-2,-78,117,75.0
SAM,2022,3,16,346,-1197,663,150.0
SAF,2022,3,-2,-14,0,13,47.0
SAB,2022,3,-135,-2325,-61,2490,4314.0
S99,2022,3,-208,-184,328,78,-158.0
S72,2022,3,0,0,-12,9,12.0
S55,2022,3,-4,-9,24,-22,181.0
S4A,2022,3,0,0,-48,66,157.0
RTB,2022,3,-140,-130,-90,145,103.0
RIC,2022,3,-49,-49,26,22,-115.0
RGC,2022,3,-39,-48,0,43,-75.0
REE,2022,3,-199,-217,-467,139,3389.0
RDP,2022,3,-5,-27,300,-266,350.0
RCL,2022,3,0,0,0,-1,13.0
RCC,2022,3,-2,1,11,-104,140.0
RAL,2022,3,-25,-25,35,-42,587.0
QTP,2022,3,0,-408,-359,392,1099.0
QTC,2022,3,0,2,-4,5,2.0
QPH,2022,3,0,-16,-5,19,79.0
QNW,2022,3,-1,-1,-7,12,9.0
QNS,2022,3,-16,218,-1611,1077,576.0
QHD,2022,3,0,0,-4,-4,14.0
QCG,2022,3,0,76,3,-54,163.0
QBS,2022,3,0,3,0,-9,
PXT,2022,3,0,0,-2,2,-2.0
PXS,2022,3,0,0,-49,8,-73.0
PXM,2022,3,0,0,0,0,-19.0
PXL,2022,3,-1,2,0,-2,0.0
PXI,2022,3,0,0,0,-1,
PXA,2022,3,19,19,0,-20,16.0
PWS,2022,3,-6,-4,-17,16,13.0
PVY,2022,3,-1,3,8,-8,-95.0
PVX,2022,3,0,19,-99,177,7.0
PVV,2022,3,0,0,0,-4,-24.0
PVT,2022,3,-379,-239,153,108,1510.0
PVS,2022,3,-239,-1617,125,-140,567.0
PVR,2022,3,0,-13,0,13,
PVP,2022,3,0,191,-52,-64,446.0
PVM,2022,3,0,77,-1,-79,121.0
PVI,2022,3,-5,1231,-1175,43,1009.0
PVH,2022,3,0,4,0,-5,-4.0
PVG,2022,3,12,333,0,-439,473.0
PVD,2022,3,-35,265,-91,81,211.0
PVC,2022,3,0,-11,-99,134,-112.0
PVB,2022,3,0,-11,0,-5,23.0
PV2,2022,3,0,-23,0,19,
PTV,2022,3,0,11,1,-15,6.0
PTS,2022,3,-17,-17,-4,25,-4.0
PTL,2022,3,0,156,0,-109,35.0
PTI,2022,3,16,48,115,-316,137.0
PTE,2022,3,0,0,1,0,-52.0
PTD,2022,3,0,1,10,-14,38.0
PTC,2022,3,-24,-26,-41,69,
PTB,2022,3,-45,-19,-209,95,647.0
PSW,2022,3,0,0,21,-55,93.0
PSP,2022,3,0,0,-2,6,0.0
PSN,2022,3,-12,47,0,-20,62.0
PSI,2022,3,0,0,212,-100,-113.0
PSH,2022,3,48,94,-48,-45,23.0
PSE,2022,3,-1,-1,0,19,30.0
PSD,2022,3,-1,-173,-272,415,-217.0
PSC,2022,3,0,0,-4,10,13.0
PSB,2022,3,0,7,0,-7,1.0
PRT,2022,3,48,59,-8,59,491.0
PRE,2022,3,-2,-18,-58,111,151.0
PRC,2022,3,-1,-1,-1,1,0.0
PQN,2022,3,0,0,6,-4,52.0
PPY,2022,3,0,2,-1,-1,-10.0
PPS,2022,3,0,3,0,-16,36.0
PPP,2022,3,0,-8,0,7,23.0
PPH,2022,3,-4,124,-207,58,480.0
PPE,2022,3,0,-16,0,15,
PPC,2022,3,0,269,-144,-152,512.0
POW,2022,3,-85,-403,1143,865,2109.0
POV,2022,3,-2,-2,-1,4,21.0
