ticker,industryEn,loanGrowth,depositGrowth,netInterestIncomeGrowth,netInterestMargin,costToIncome,netIncomeTOI,businessOperation,avgROE,avgROA,last5yearsNetProfitGrowth,last5yearsRevenueGrowth,last5yearsOperatingProfitGrowth,last5yearsEBITDAGrowth,last5yearsFCFFGrowth,lastYearGrossProfitMargin,lastYearOperatingProfitMargin,lastYearNetProfitMargin,TOIGrowth
BLW,Water,,,,,,,2.8,2,3,3,2,4,1,1,5,3,4,
BMC,General Mining,,,,,,,2.8,2,3,3,2,5,3,1,3,3,3,
BMD,Waste & Disposal Services,,,,,,,2.6,4,3,4,2,4,1,4,1,1,1,
BMF,Gas Distribution,,,,,,,2.5,3,3,1,5,2,2,5,1,1,2,
BMG,Clothing & Accessories,,,,,,,1.5,3,3,1,1,1,1,1,1,1,1,
BMI,Property & Casualty Insurance,,,,,,,2.1,3,2,2,2,2,5,1,1,1,2,
BMJ,General Mining,,,,,,,2.9,4,4,2,2,2,2,5,2,3,3,
BMN,Heavy Construction,,,,,,,2.0,3,3,2,2,2,1,2,2,1,2,
BMP,Building Materials & Fixtures,,,,,,,2.0,3,3,1,2,1,1,1,3,3,2,
BMS,Investment Services,,,,,,,3.7,2,3,5,5,5,5,5,2,3,2,
BMV,Food Products,,,,,,,1.3,1,2,2,2,1,1,1,1,1,1,
BNA,Food Products,,,,,,,2.1,5,4,1,1,1,1,1,2,2,2,
BNW,Water,,,,,,,1.6,2,2,1,1,1,1,1,2,2,3,
BOT,Heavy Construction,,,,,,,1.7,1,1,1,1,1,1,1,5,5,1,
BPC,Containers & Packaging,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
BQB,Brewers,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
BRC,Commodity Chemicals,,,,,,,2.3,3,3,2,3,2,2,1,3,2,2,
BRR,Commodity Chemicals,,,,,,,4.1,3,3,5,4,5,5,5,3,3,5,
BRS,Waste & Disposal Services,,,,,,,3.5,5,4,3,3,3,3,5,3,3,3,
BSA,Conventional Electricity,,,,,,,3.0,3,3,2,2,1,2,2,5,5,5,
BSC,Specialty Retailers,,,,,,,1.9,1,2,1,1,1,1,1,5,2,5,
BSD,Brewers,,,,,,,2.1,5,3,2,2,2,2,1,1,1,1,
BSG,Travel & Tourism,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
BSH,Brewers,,,,,,,2.0,4,4,1,1,1,1,1,2,2,3,
BSI,Investment Services,,,,,,,4.1,3,3,5,4,5,5,1,5,5,5,
BSL,Brewers,,,,,,,1.5,2,3,1,1,1,1,1,1,2,2,
BSP,Brewers,,,,,,,1.3,2,2,1,1,1,1,1,1,1,2,
BSQ,Brewers,,,,,,,2.7,5,4,3,2,2,2,1,2,2,3,
BSR,Exploration & Production,,,,,,,2.3,4,3,2,2,2,2,1,2,2,2,
BST,Publishing,,,,,,,1.9,3,3,2,2,1,1,1,2,1,2,
BT1,Specialty Chemicals,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
BT6,Building Materials & Fixtures,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
BTB,Brewers,,,,,,,1.2,1,1,1,1,1,1,1,2,2,1,
BTD,Building Materials & Fixtures,,,,,,,2.2,3,2,2,2,2,2,3,2,2,2,
BTG,Containers & Packaging,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
BTH,Electronic Equipment,,,,,,,2.1,2,3,1,1,1,1,1,5,1,5,
BTN,Building Materials & Fixtures,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
BTP,Conventional Electricity,,,,,,,2.4,2,3,2,1,1,3,3,2,2,5,
BTS,Building Materials & Fixtures,,,,,,,1.3,1,2,1,1,1,1,1,2,1,2,
BTT,Broadline Retailers,,,,,,,1.9,1,2,1,1,1,1,1,5,4,3,
BTU,Waste & Disposal Services,,,,,,,2.4,3,4,2,2,2,2,1,4,2,2,
BTV,Travel & Tourism,,,,,,,1.1,1,1,1,1,1,1,1,2,1,1,
BTW,Water,,,,,,,3.0,3,3,4,1,5,5,1,4,2,2,
BVB,Banks,4,3,5,2,1,2,3.0,2,1,5,,,,,,,,5
BVG,Steel,,,,,,,1.2,1,1,1,1,1,1,1,2,2,1,
BVH,Life Insurance,,,,,,,1.6,2,2,1,3,1,1,2,1,1,2,
BVL,,,,,,,,,,,,,,,,,,,
BVN,Personal Products,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
BVS,Investment Services,,,,,,,4.3,2,3,5,5,5,4,5,5,5,5,
BWA,Water,,,,,,,1.5,2,2,1,2,2,2,1,1,1,1,
BWE,Water,,,,,,,4.2,5,3,5,4,5,5,1,5,4,5,
BWS,Water,,,,,,,3.4,5,5,2,2,2,2,1,5,5,5,
BXH,Containers & Packaging,,,,,,,1.3,1,2,1,2,1,1,1,2,1,1,
C12,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
C21,Real Estate Holding & Development,,,,,,,2.0,1,2,1,1,1,1,1,5,3,5,
C22,Food Products,,,,,,,1.3,3,2,1,1,1,1,1,1,1,1,
C32,Building Materials & Fixtures,,,,,,,2.2,3,3,1,1,1,2,5,2,2,2,
C36,Heavy Construction,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
C47,Heavy Construction,,,,,,,2.1,3,2,5,1,1,1,1,2,2,2,
C4G,Heavy Construction,,,,,,,1.6,2,2,1,1,1,1,1,2,3,2,
C69,Heavy Construction,,,,,,,2.7,1,2,5,4,5,5,1,1,1,2,
C71,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
C92,Heavy Construction,,,,,,,1.5,1,2,1,1,5,1,1,1,1,1,
CAB,Broadcasting & Entertainment,,,,,,,1.6,3,2,1,1,1,1,1,3,1,2,
CAD,Farming & Fishing,,,,,,,1.2,1,1,1,1,1,1,1,3,1,1,
CAG,Transportation Services,,,,,,,1.5,1,2,1,1,1,1,1,3,2,2,
CAN,Food Products,,,,,,,3.8,5,3,5,4,5,5,5,3,1,2,
CAP,Paper,,,,,,,2.9,5,5,1,2,5,1,1,3,3,3,
CAR,,,,,,,,,,,,,,,,,,,
CAT,Farming & Fishing,,,,,,,2.3,5,4,3,2,2,2,1,1,1,1,
CAV,Electrical Components & Equipment,,,,,,,2.8,4,3,2,3,3,3,5,1,2,2,
CBC,Soft Drinks,,,,,,,1.3,1,2,1,2,2,1,1,1,1,1,
CBI,Steel,,,,,,,2.5,5,5,1,5,1,1,1,1,2,2,
CBS,Food Products,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
CC1,Heavy Construction,,,,,,,2.0,4,2,5,1,1,2,1,1,1,1,
CC4,Heavy Construction,,,,,,,2.4,1,2,5,1,1,4,5,2,1,2,
CCA,Farming & Fishing,,,,,,,2.5,2,2,5,2,5,1,1,3,2,2,
CCI,Gas Distribution,,,,,,,2.0,3,2,2,2,1,3,1,2,2,2,
CCL,Real Estate Holding & Development,,,,,,,4.0,3,3,5,5,5,5,5,3,3,3,
CCM,Building Materials & Fixtures,,,,,,,3.4,4,4,5,5,4,4,1,2,2,2,
CCP,Transportation Services,,,,,,,1.1,1,1,1,2,1,1,1,1,1,1,
CCR,Transportation Services,,,,,,,3.4,3,4,5,3,5,4,1,3,3,3,
CCT,Transportation Services,,,,,,,1.7,1,2,1,2,1,4,1,3,1,1,
CCV,Heavy Construction,,,,,,,1.8,5,2,2,1,2,1,1,1,1,1,
CDC,Heavy Construction,,,,,,,2.5,3,2,3,5,1,5,1,1,1,2,
CDG,Building Materials & Fixtures,,,,,,,2.2,2,3,1,1,1,1,1,5,3,4,
CDH,Waste & Disposal Services,,,,,,,2.8,2,2,5,4,5,5,1,1,1,1,
CDN,Transportation Services,,,,,,,3.9,4,4,3,3,4,3,5,4,4,5,
CDO,Heavy Construction,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
CDP,Pharmaceuticals,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
CDR,Heavy Construction,,,,,,,1.2,1,2,1,2,1,1,1,1,1,1,
CE1,Industrial Machinery,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
CEG,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
CEN,Broadline Retailers,,,,,,,1.6,1,2,5,1,1,1,1,1,1,1,
CEO,Real Estate Holding & Development,,,,,,,2.0,1,2,1,1,1,2,1,4,3,5,
CET,Personal Products,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
CFM,Business Training & Employment Agencies,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
CFV,Soft Drinks,,,,,,,1.2,1,2,1,2,1,1,1,1,1,1,
CGV,Building Materials & Fixtures,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
CH5,Heavy Construction,,,,,,,1.6,2,2,1,1,1,1,5,1,1,1,
CHC,Building Materials & Fixtures,,,,,,,2.3,5,3,2,3,3,2,1,1,1,1,
