ticker,industryEn,loanGrowth,depositGrowth,netInterestIncomeGrowth,netInterestMargin,costToIncome,netIncomeTOI,businessOperation,avgROE,avgROA,last5yearsNetProfitGrowth,last5yearsRevenueGrowth,last5yearsOperatingProfitGrowth,last5yearsEBITDAGrowth,last5yearsFCFFGrowth,lastYearGrossProfitMargin,lastYearOperatingProfitMargin,lastYearNetProfitMargin,TOIGrowth
HU4,Heavy Construction,,,,,,,2.5,2,2,2,2,4,5,1,3,2,2,
HU6,Real Estate Holding & Development,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
HUB,Heavy Construction,,,,,,,2.6,3,3,2,2,2,4,1,3,3,3,
HUG,Clothing & Accessories,,,,,,,2.8,5,4,2,2,1,3,2,3,2,3,
HUT,Heavy Construction,,,,,,,1.9,1,2,1,1,1,1,1,4,3,5,
HVA,Farming & Fishing,,,,,,,2.6,2,3,5,5,1,5,1,1,1,1,
HVG,Farming & Fishing,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
HVH,Heavy Construction,,,,,,,1.8,1,2,3,2,2,1,1,2,2,2,
HVN,Airlines,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
HVT,Specialty Chemicals,,,,,,,3.3,5,4,4,2,2,2,5,3,3,3,
HVX,Building Materials & Fixtures,,,,,,,1.5,1,2,1,1,1,1,5,1,1,1,
HWS,Water,,,,,,,3.2,3,3,5,2,5,1,1,4,4,4,
IBC,Specialty Finance,,,,,,,2.6,2,2,5,5,1,1,1,4,2,2,
IBD,Publishing,,,,,,,1.3,2,3,1,1,1,1,1,1,1,1,
IBN,Publishing,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
ICC,Heavy Construction,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
ICF,Farming & Fishing,,,,,,,1.1,1,1,1,1,1,1,1,2,1,1,
ICG,Heavy Construction,,,,,,,2.3,1,2,4,1,1,5,1,2,1,5,
ICI,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
ICN,Heavy Construction,,,,,,,2.6,5,2,5,1,2,5,1,1,1,2,
ICT,Software,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
IDC,Real Estate Holding & Development,,,,,,,2.8,2,2,2,1,3,4,1,4,5,5,
IDI,Farming & Fishing,,,,,,,2.2,1,2,2,2,3,5,1,2,2,2,
IDJ,Real Estate Holding & Development,,,,,,,3.0,5,3,1,5,1,1,1,4,3,5,
IDP,Food Products,,,,,,,2.6,5,5,1,1,1,1,1,5,3,3,
IDV,Real Estate Holding & Development,,,,,,,4.4,5,4,5,5,4,3,3,5,5,5,
IFS,Soft Drinks,,,,,,,3.4,3,4,5,1,5,3,5,4,2,2,
IHK,Publishing,,,,,,,1.2,1,2,1,1,1,1,1,2,1,1,
IJC,Real Estate Holding & Development,,,,,,,4.4,5,3,5,2,5,5,5,5,5,5,
ILA,Farming & Fishing,,,,,,,2.1,2,2,5,1,1,5,1,1,1,2,
ILB,Transportation Services,,,,,,,2.7,4,2,2,2,2,2,1,4,4,4,
ILC,Business Training & Employment Agencies,,,,,,,2.5,5,5,1,4,1,1,2,2,2,1,
ILS,Containers & Packaging,,,,,,,1.5,1,1,1,5,1,1,1,2,1,1,
IME,Industrial Machinery,,,,,,,1.4,1,2,1,1,1,1,1,2,2,2,
IMP,Pharmaceuticals,,,,,,,2.9,3,3,3,2,3,3,1,5,3,3,
IN4,Publishing,,,,,,,2.7,5,5,2,2,2,3,1,2,1,3,
INC,Heavy Construction,,,,,,,2.2,2,3,3,1,2,2,1,4,2,2,
INN,Containers & Packaging,,,,,,,2.0,3,3,1,3,1,2,1,2,2,2,
IPA,Business Support Services,,,,,,,4.2,5,5,5,1,1,5,5,5,5,5,
IRC,Commodity Chemicals,,,,,,,2.5,2,3,3,1,1,5,3,1,1,5,
ISG,Marine Transportation,,,,,,,2.2,1,3,1,3,1,5,5,1,1,1,
ISH,Conventional Electricity,,,,,,,4.0,3,4,5,2,4,3,5,5,5,5,
IST,Transportation Services,,,,,,,3.0,5,3,2,3,3,3,1,4,3,3,
ITA,Real Estate Holding & Development,,,,,,,3.8,1,2,5,5,5,5,1,5,5,5,
ITC,Real Estate Holding & Development,,,,,,,3.6,2,2,5,5,5,5,1,4,4,3,
ITD,Computer Hardware,,,,,,,1.4,2,2,1,1,1,1,1,2,1,2,
ITQ,Steel,,,,,,,2.3,1,2,5,3,4,3,1,1,1,1,
ITS,Industrial Machinery,,,,,,,2.0,1,2,5,1,2,5,1,1,1,1,
IVS,Investment Services,,,,,,,3.7,1,2,5,5,1,3,5,5,5,5,
JOS,Farming & Fishing,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
JVC,Medical Equipment,,,,,,,1.1,1,1,1,1,1,1,1,2,1,1,
KAC,Real Estate Holding & Development,,,,,,,3.2,2,2,5,5,5,1,1,4,4,3,
KBC,Real Estate Holding & Development,,,,,,,3.5,2,2,2,4,3,3,5,5,5,5,
KCB,General Mining,,,,,,,3.0,3,3,3,2,5,2,5,3,1,3,
KCE,Building Materials & Fixtures,,,,,,,1.7,2,3,1,1,1,1,1,3,2,2,
KDC,Food Products,,,,,,,2.4,2,2,1,5,1,5,1,3,2,2,
KDH,Real Estate Holding & Development,,,,,,,3.9,3,3,5,1,4,4,5,5,5,5,
KDM,Heavy Construction,,,,,,,1.2,1,2,2,1,1,1,1,1,1,1,
KGM,Broadline Retailers,,,,,,,1.7,2,2,1,2,1,1,5,1,1,1,
KHA,Real Estate Holding & Development,,,,,,,2.5,2,3,1,1,1,2,1,5,5,5,
KHD,General Mining,,,,,,,1.6,2,2,1,1,1,1,1,3,2,2,
KHG,Real Estate Holding & Development,,,,,,,2.4,2,3,1,1,1,1,1,5,5,5,
KHL,Building Materials & Fixtures,,,,,,,1.1,1,1,1,1,1,1,1,2,1,1,
KHP,Conventional Electricity,,,,,,,2.0,2,2,1,2,5,4,1,1,1,1,
KHS,Farming & Fishing,,,,,,,2.7,5,3,3,2,3,3,1,2,2,2,
KHW,Water,,,,,,,2.4,3,3,2,2,2,2,2,2,3,3,
KIP,Electronic Equipment,,,,,,,1.5,1,2,1,2,1,2,1,2,1,2,
KKC,Steel,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
KLB,Banks,3,4,4,2,1,3,3.4,4,3,5,,,,,,,,5
KLF,Recreational Services,,,,,,,1.8,1,2,3,2,1,5,1,1,1,1,
KLM,Nonferrous Metals,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
KMR,Clothing & Accessories,,,,,,,2.4,1,2,5,2,2,2,5,2,1,2,
KMT,Steel,,,,,,,2.4,2,2,4,2,5,5,1,1,1,1,
KOS,Real Estate Holding & Development,,,,,,,2.8,1,2,1,5,5,5,5,1,2,1,
KPF,Building Materials & Fixtures,,,,,,,2.9,3,2,5,1,4,2,1,5,1,5,
KSB,General Mining,,,,,,,3.2,4,3,2,2,2,3,1,5,5,5,
KSD,Durable Household Products,,,,,,,2.8,2,3,5,1,1,5,5,1,1,4,
KSF,Real Estate Holding & Development,,,,,,,2.3,2,2,1,1,1,1,1,5,5,5,
KSH,General Mining,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
KSK,Building Materials & Fixtures,,,,,,,1.4,1,1,1,1,1,1,1,5,1,1,
KSQ,General Mining,,,,,,,2.3,1,2,5,1,1,5,5,1,1,1,
KSS,General Mining,,,,,,,1.6,1,1,1,1,1,1,1,5,4,1,
KST,Telecommunications Equipment,,,,,,,1.4,2,2,1,1,1,1,1,2,1,2,
KSV,General Mining,,,,,,,3.8,5,3,5,4,5,5,5,2,2,2,
KTC,Travel & Tourism,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
KTL,Steel,,,,,,,1.5,2,2,1,2,1,2,1,2,1,1,
KTS,Food Products,,,,,,,1.4,1,2,1,1,1,1,1,2,2,2,
KTT,Heavy Construction,,,,,,,2.4,1,2,5,5,5,1,1,1,1,1,
KTU,Waste & Disposal Services,,,,,,,2.2,5,5,1,1,1,1,1,2,2,2,
KVC,Steel,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
L10,Industrial Machinery,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
L12,Heavy Construction,,,,,,,1.2,1,2,1,2,1,1,1,1,1,1,
L14,Heavy Construction,,,,,,,4.3,5,5,5,1,2,5,5,5,5,5,
L18,Heavy Construction,,,,,,,3.0,2,2,5,3,5,5,5,1,1,1,
L35,Industrial Machinery,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
L40,Heavy Construction,,,,,,,1.3,2,2,1,1,1,1,1,1,1,2,
L43,Industrial Machinery,,,,,,,1.3,1,1,1,1,1,1,1,3,2,1,
L44,Industrial Machinery,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
L45,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
L61,Industrial Machinery,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
L62,Industrial Machinery,,,,,,,1.5,1,1,1,1,2,2,1,3,3,1,
L63,Industrial Machinery,,,,,,,1.2,1,2,1,2,1,1,1,1,1,1,
LAF,Food Products,,,,,,,2.7,5,5,2,1,3,3,1,2,2,2,
LAI,Heavy Construction,,,,,,,2.4,4,2,3,3,3,3,1,1,1,2,
LAS,Specialty Chemicals,,,,,,,1.3,1,2,1,1,1,1,1,2,1,2,
LAW,Water,,,,,,,1.9,2,2,1,3,1,2,1,3,2,2,
LBC,Broadline Retailers,,,,,,,1.8,3,3,2,1,2,2,1,1,1,1,
LBE,Publishing,,,,,,,1.7,2,3,1,2,1,2,1,2,1,2,
LBM,Building Materials & Fixtures,,,,,,,3.2,4,5,3,4,2,3,1,3,3,3,
LCC,Building Materials & Fixtures,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
LCD,Heavy Construction,,,,,,,1.5,2,2,1,1,2,1,1,2,2,1,
LCG,Heavy Construction,,,,,,,3.2,3,2,5,3,5,5,1,2,2,4,
LCM,General Mining,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
LCS,Heavy Construction,,,,,,,1.4,1,1,1,1,1,1,1,3,3,1,
LCW,Water,,,,,,,2.1,1,2,2,2,5,3,1,3,1,1,
LDG,Real Estate Services,,,,,,,2.4,1,2,1,1,1,2,5,5,2,5,
LDP,Pharmaceuticals,,,,,,,2.6,5,5,3,1,1,2,1,2,1,4,
LDW,Water,,,,,,,1.8,1,2,1,1,1,1,1,3,3,4,
LEC,Real Estate Holding & Development,,,,,,,1.8,1,2,1,5,1,2,1,1,2,1,
LG9,Heavy Construction,,,,,,,1.5,2,2,1,1,3,2,1,1,1,1,
LGC,Heavy Construction,,,,,,,3.4,2,2,1,4,5,5,1,5,5,5,
LGL,Real Estate Holding & Development,,,,,,,1.3,1,2,1,1,1,2,1,1,1,2,
LGM,Clothing & Accessories,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
LHC,Heavy Construction,,,,,,,2.8,3,3,4,4,3,3,1,2,2,2,
LHG,Real Estate Holding & Development,,,,,,,3.9,5,4,3,3,3,4,2,5,5,5,
LIC,Heavy Construction,,,,,,,1.5,4,2,1,1,1,1,1,1,1,2,
LIG,Heavy Construction,,,,,,,2.5,2,2,5,5,1,5,1,1,1,1,
LIX,Personal Products,,,,,,,2.8,5,5,2,2,2,2,2,3,2,2,
LKW,Water,,,,,,,3.3,5,5,4,2,4,4,5,1,1,1,
LLM,Industrial Machinery,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
LM3,Heavy Construction,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
LM7,Industrial Machinery,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
LM8,Heavy Construction,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
LMC,General Mining,,,,,,,2.3,2,2,5,2,5,3,1,1,1,1,
LMH,Real Estate Holding & Development,,,,,,,1.2,1,1,1,1,1,1,1,2,2,1,
LMI,Industrial Machinery,,,,,,,1.8,1,2,1,2,2,2,5,1,1,1,
LNC,Commodity Chemicals,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
LO5,Industrial Machinery,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
LPB,Banks,5,3,4,4,4,4,4.1,4,3,5,,,,,,,,5
LPT,Business Training & Employment Agencies,,,,,,,1.8,3,4,1,1,1,1,1,2,2,2,
LQN,Industrial Machinery,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
LSG,Real Estate Holding & Development,,,,,,,1.8,1,2,1,1,1,1,1,5,1,5,
LSS,Food Products,,,,,,,1.3,1,2,1,1,1,1,1,2,1,2,
LTC,Computer Hardware,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
LTG,Specialty Chemicals,,,,,,,2.1,3,3,2,2,2,2,1,2,2,2,
LUT,Heavy Construction,,,,,,,1.5,1,2,1,1,1,1,5,1,1,1,
LWS,Water,,,,,,,2.1,2,2,2,1,2,2,1,3,3,3,
M10,Clothing & Accessories,,,,,,,2.2,4,2,2,2,2,1,4,2,1,2,
MA1,Electronic Equipment,,,,,,,1.9,4,3,1,1,1,1,1,5,1,1,
MAC,Commercial Vehicles & Trucks,,,,,,,1.2,1,1,1,1,1,1,1,2,1,2,
MAS,Travel & Tourism,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
MBB,Banks,4,3,5,5,5,4,4.6,5,5,5,,,,,,,,5
MBG,Building Materials & Fixtures,,,,,,,3.2,2,3,5,4,5,5,1,2,2,3,
MBN,Waste & Disposal Services,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
MBS,Investment Services,,,,,,,4.5,4,2,5,5,5,5,5,5,5,5,
MCC,Building Materials & Fixtures,,,,,,,1.7,1,2,1,1,1,1,1,3,3,3,
MCD,,,,,,,,,,,,,,,,,,,
MCF,Food Products,,,,,,,2.1,2,3,1,2,1,2,5,2,1,2,
MCG,Heavy Construction,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
MCH,Food Products,,,,,,,4.2,5,5,4,4,4,4,3,5,4,4,
MCI,Building Materials & Fixtures,,,,,,,1.4,1,1,1,1,1,1,1,4,2,1,
MCM,Food Products,,,,,,,2.8,5,5,2,2,2,1,1,4,2,3,
MCO,Heavy Construction,,,,,,,1.2,1,2,2,1,1,1,1,1,1,1,
MCP,Containers & Packaging,,,,,,,2.0,3,3,2,2,1,1,3,2,1,2,
MCT,Building Materials & Fixtures,,,,,,,1.3,1,2,1,1,2,2,1,1,1,1,
MDA,Waste & Disposal Services,,,,,,,2.9,4,3,5,2,5,2,4,1,1,1,
MDC,Coal,,,,,,,1.6,3,2,2,2,1,1,1,1,1,1,
MDF,Forestry,,,,,,,2.9,2,3,5,3,5,4,1,2,2,2,
MDG,Building Materials & Fixtures,,,,,,,1.8,2,2,1,1,1,3,1,3,2,2,
MEC,Heavy Construction,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
MED,Pharmaceuticals,,,,,,,1.2,1,2,1,1,1,1,1,2,1,1,
MEF,Medical Supplies,,,,,,,2.7,5,5,2,2,2,2,5,1,1,1,
MEL,Steel,,,,,,,3.1,5,3,5,1,3,3,5,2,2,2,
MES,Heavy Construction,,,,,,,1.1,1,1,1,1,1,1,1,2,1,1,
MFS,Mobile Telecommunications,,,,,,,2.2,4,4,2,1,1,1,4,1,1,2,
MGC,General Mining,,,,,,,1.2,1,2,1,1,1,1,1,2,1,1,
MGG,Clothing & Accessories,,,,,,,1.7,4,2,1,1,1,2,3,1,1,1,
MGR,Real Estate Holding & Development,,,,,,,1.3,1,1,1,1,1,1,1,4,1,1,
MH3,Real Estate Holding & Development,,,,,,,3.6,4,2,3,5,1,5,1,5,5,5,
MHC,Trucking,,,,,,,1.6,2,2,1,1,1,5,1,1,1,1,
MHL,Steel,,,,,,,1.3,1,1,1,1,1,1,1,2,2,2,
MIC,General Mining,,,,,,,2.1,1,2,3,2,1,1,1,5,3,2,
MIE,Industrial Machinery,,,,,,,2.3,1,2,1,2,5,5,5,1,1,1,
MIG,Property & Casualty Insurance,,,,,,,3.0,3,2,5,3,2,5,5,2,1,2,
MIM,General Mining,,,,,,,2.0,1,1,5,4,3,1,1,1,1,1,
MKP,Pharmaceuticals,,,,,,,1.4,1,2,1,1,1,1,1,3,1,2,
MKV,Pharmaceuticals,,,,,,,2.9,3,3,5,2,2,2,5,3,2,2,
MLC,Waste & Disposal Services,,,,,,,2.9,2,3,5,3,5,3,5,1,1,1,
MLS,Farming & Fishing,,,,,,,2.3,5,5,1,2,1,1,1,2,2,2,
MML,Food Products,,,,,,,1.8,4,3,1,1,1,1,1,1,1,3,
MNB,Clothing & Accessories,,,,,,,1.4,1,2,1,1,1,1,1,2,2,2,
MND,Waste & Disposal Services,,,,,,,1.8,2,2,5,2,1,1,1,1,1,1,
MPC,Farming & Fishing,,,,,,,3.0,3,3,5,2,5,5,1,2,2,2,
MPT,Clothing & Accessories,,,,,,,1.1,1,1,1,1,1,1,1,2,1,1,
MPY,Waste & Disposal Services,,,,,,,2.5,2,3,2,5,2,2,5,1,1,1,
MQB,Waste & Disposal Services,,,,,,,1.7,1,2,2,2,1,2,1,3,1,2,
MQN,Waste & Disposal Services,,,,,,,2.2,3,4,1,5,1,2,2,1,1,1,
MRF,Medical Equipment,,,,,,,2.3,5,4,1,5,1,1,1,1,1,1,
MSB,Banks,5,3,5,4,4,5,4.4,4,4,5,,,,,,,,5
MSH,Clothing & Accessories,,,,,,,2.9,5,4,4,2,5,1,1,2,2,2,
MSN,Food Products,,,,,,,3.7,5,3,5,4,2,4,5,3,2,3,
MSR,General Mining,,,,,,,2.7,1,2,3,5,2,2,5,2,3,2,
MST,Heavy Construction,,,,,,,3.5,3,2,5,5,5,5,1,2,2,5,
MTA,General Mining,,,,,,,1.6,1,2,1,2,1,5,1,1,1,1,
MTB,,,,,,,,,,,,,,,,,,,
MTC,Hotels,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
MTG,Gas Distribution,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
MTH,Waste & Disposal Services,,,,,,,1.2,2,2,1,1,1,1,1,1,1,1,
MTL,Waste & Disposal Services,,,,,,,1.2,1,2,1,1,1,1,2,1,1,1,
MTP,Pharmaceuticals,,,,,,,2.0,3,2,4,2,2,2,1,1,1,1,
MTS,Industrial Suppliers,,,,,,,1.3,2,2,1,2,1,1,1,1,1,1,
MTV,Waste & Disposal Services,,,,,,,2.1,3,4,1,1,1,1,1,3,3,3,
MVB,General Mining,,,,,,,2.6,4,3,5,2,2,2,1,2,2,2,
MVC,Building Materials & Fixtures,,,,,,,1.6,1,2,1,1,1,1,2,3,3,1,
MVN,Marine Transportation,,,,,,,2.8,2,2,5,1,1,5,2,3,3,4,
MWG,Specialty Retailers,,,,,,,4.0,5,3,5,5,5,5,5,3,2,2,
NAB,Banks,5,5,5,3,3,4,4.1,4,2,5,,,,,,,,5
NAC,Heavy Construction,,,,,,,2.2,5,2,2,2,1,1,5,1,1,1,
NAF,Soft Drinks,,,,,,,2.5,2,2,2,5,2,4,1,3,2,2,
NAG,Electrical Components & Equipment,,,,,,,3.0,2,2,2,5,5,5,5,2,1,1,
NAP,Transportation Services,,,,,,,1.8,2,3,1,2,1,1,1,3,2,2,
NAS,Transportation Services,,,,,,,1.5,1,1,1,1,1,1,1,5,1,2,
NAU,Waste & Disposal Services,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
NAV,Building Materials & Fixtures,,,,,,,2.2,4,4,1,1,1,1,1,2,2,5,
NAW,Water,,,,,,,1.8,1,2,1,2,1,5,1,3,1,1,
NBB,Real Estate Holding & Development,,,,,,,3.2,4,3,5,5,1,1,1,5,5,1,
NBC,Coal,,,,,,,2.6,2,2,2,4,5,5,1,2,2,1,
NBE,Publishing,,,,,,,3.1,4,4,4,3,3,4,5,1,1,1,
NBP,Conventional Electricity,,,,,,,1.8,2,3,2,2,2,2,1,1,1,2,
NBT,Water,,,,,,,3.5,3,3,4,2,3,5,1,5,5,5,
NBW,Water,,,,,,,2.9,3,3,3,2,4,4,4,3,1,2,
NCS,Food Products,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
NCT,Transportation Services,,,,,,,3.1,5,5,1,2,1,1,1,5,5,5,
ND2,Conventional Electricity,,,,,,,3.3,5,3,3,1,2,2,2,5,5,5,
NDC,Pharmaceuticals,,,,,,,3.2,5,5,5,5,5,1,1,1,1,1,
NDF,Food Products,,,,,,,1.3,1,1,1,1,1,1,1,1,1,4,
NDN,Real Estate Holding & Development,,,,,,,3.9,5,4,5,3,3,5,5,4,4,1,
NDP,Pharmaceuticals,,,,,,,1.8,2,3,1,1,1,2,2,2,2,2,
NDT,Clothing & Accessories,,,,,,,2.4,2,2,4,3,5,1,1,2,2,2,
NDW,Water,,,,,,,2.1,2,3,1,1,1,1,1,4,3,4,
NDX,Building Materials & Fixtures,,,,,,,1.4,1,2,1,1,1,1,1,2,2,2,
NED,Heavy Construction,,,,,,,2.7,3,3,2,1,1,1,1,5,5,5,
NET,Personal Products,,,,,,,2.7,5,5,2,3,2,2,1,2,2,2,
NFC,Specialty Chemicals,,,,,,,1.6,2,3,1,2,1,1,1,2,1,2,
NGC,Farming & Fishing,,,,,,,2.1,1,1,5,1,3,2,5,1,1,1,
NHA,Heavy Construction,,,,,,,1.3,1,2,1,1,1,1,1,2,1,2,
NHC,Building Materials & Fixtures,,,,,,,2.4,4,4,1,1,1,1,1,4,3,4,
NHH,Commodity Chemicals,,,,,,,2.5,3,2,1,4,2,2,5,2,2,2,
NHP,Containers & Packaging,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
NHT,Toys,,,,,,,3.7,3,3,5,5,5,5,5,2,2,2,
NHV,Nonferrous Metals,,,,,,,2.5,3,4,3,1,3,5,1,1,2,2,
NJC,Clothing & Accessories,,,,,,,1.7,5,3,1,1,1,1,1,1,1,1,
NKG,Steel,,,,,,,3.6,5,5,5,5,5,5,1,1,1,2,
NLG,Real Estate Holding & Development,,,,,,,3.4,3,3,5,4,3,5,2,4,3,2,
NLS,Water,,,,,,,2.7,3,3,5,2,4,5,1,1,1,1,
NNC,Building Materials & Fixtures,,,,,,,2.1,4,4,1,1,1,1,1,2,1,5,
NNG,Commodity Chemicals,,,,,,,1.7,2,2,1,2,1,2,1,2,2,2,
NNT,Water,,,,,,,3.0,5,4,4,2,3,3,5,1,1,1,
NOS,Marine Transportation,,,,,,,1.2,1,1,1,3,1,1,1,1,1,1,
NQB,Water,,,,,,,3.1,1,2,4,3,5,3,5,3,3,3,
NQN,Water,,,,,,,2.3,2,2,2,2,2,5,1,3,2,2,
NQT,Water,,,,,,,2.9,2,3,4,2,4,2,2,4,3,3,
NRC,Real Estate Holding & Development,,,,,,,4.9,5,4,5,5,5,5,5,5,5,5,
NS2,Water,,,,,,,2.2,1,2,2,2,1,5,1,5,1,2,
NSC,Farming & Fishing,,,,,,,2.9,4,4,2,2,2,2,3,4,3,3,
NSG,Commodity Chemicals,,,,,,,1.3,1,2,1,1,3,1,1,1,1,1,
NSH,Aluminum,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
NSL,Water,,,,,,,1.7,4,4,1,1,1,1,1,1,1,1,
NSS,Farming & Fishing,,,,,,,2.7,4,5,3,4,5,1,1,1,1,1,
NST,Tobacco,,,,,,,1.3,1,2,1,1,1,1,2,2,1,1,
NT2,Conventional Electricity,,,,,,,1.8,3,3,1,1,1,1,2,2,2,2,
NTB,Real Estate Holding & Development,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
NTC,Real Estate Holding & Development,,,,,,,4.3,5,3,4,3,3,5,5,5,5,5,
NTF,Pharmaceuticals,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
NTH,Conventional Electricity,,,,,,,3.0,5,5,1,1,1,1,1,5,5,5,
NTL,Real Estate Holding & Development,,,,,,,4.4,5,4,5,2,5,5,3,5,5,5,
NTP,Building Materials & Fixtures,,,,,,,2.5,4,4,2,2,2,1,3,3,2,2,
NTT,Clothing & Accessories,,,,,,,1.2,1,1,1,1,1,2,1,1,2,1,
NTW,Water,,,,,,,1.5,2,3,1,2,1,1,1,1,1,1,
NUE,Waste & Disposal Services,,,,,,,1.7,2,3,1,2,1,1,4,1,1,1,
NVB,Banks,3,2,2,1,1,1,1.5,1,1,1,,,,,,,,2
NVL,Real Estate Holding & Development,,,,,,,3.5,2,2,3,4,5,5,1,5,4,5,
NVP,Water,,,,,,,1.8,1,2,4,2,2,3,1,1,1,1,
NVT,Real Estate Holding & Development,,,,,,,1.9,1,1,1,1,1,1,5,5,3,1,
NWT,Travel & Tourism,,,,,,,1.2,1,2,1,1,1,2,1,1,1,1,
NXT,Building Materials & Fixtures,,,,,,,1.5,3,3,1,1,1,1,1,1,1,1,
OCB,Banks,5,4,5,3,4,5,4.6,5,5,5,,,,,,,,5
OCH,Food Products,,,,,,,1.3,1,2,1,1,1,1,1,3,1,1,
ODE,Broadcasting & Entertainment,,,,,,,2.2,5,3,1,1,1,1,1,3,3,3,
OGC,Specialty Finance,,,,,,,2.1,3,2,1,1,1,1,1,5,3,3,
OIL,Exploration & Production,,,,,,,1.5,1,2,2,2,2,2,1,1,1,1,
ONE,Computer Hardware,,,,,,,1.3,2,2,1,2,1,1,1,1,1,1,
ONW,Recreational Services,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
OPC,Pharmaceuticals,,,,,,,3.0,4,4,3,2,2,2,2,5,3,3,
ORS,Investment Services,,,,,,,2.6,3,3,1,5,1,1,1,4,4,3,
PAC,Electrical Components & Equipment,,,,,,,2.5,5,3,1,2,1,2,5,2,2,2,
PAI,Fixed Line Telecommunications,,,,,,,2.0,2,2,2,2,2,3,1,3,1,2,
PAN,Food Products,,,,,,,2.7,1,2,2,5,4,5,2,2,2,2,
PAP,Transportation Services,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
PAS,Steel,,,,,,,2.7,4,3,5,2,5,1,1,1,2,2,
PAT,Specialty Chemicals,,,,,,,2.9,5,5,1,1,1,1,1,4,5,5,
PBC,Pharmaceuticals,,,,,,,2.8,1,2,5,2,5,5,1,3,2,2,
PBK,Conventional Electricity,,,,,,,1.6,1,2,1,1,1,1,1,4,2,2,
PBP,Containers & Packaging,,,,,,,1.7,2,3,1,4,1,1,1,1,1,1,
PBT,Containers & Packaging,,,,,,,1.3,2,3,1,1,1,1,1,1,1,1,
PC1,Heavy Construction,,,,,,,3.1,3,2,4,5,4,5,1,2,3,2,
PCC,Heavy Construction,,,,,,,1.3,3,2,1,1,1,1,1,1,1,1,
PCE,Specialty Chemicals,,,,,,,3.5,5,5,5,2,5,5,4,1,1,1,
PCF,Soft Drinks,,,,,,,1.1,1,2,1,1,1,1,1,1,1,1,
PCG,Gas Distribution,,,,,,,1.9,1,2,5,1,1,1,5,1,1,1,
PCH,Commodity Chemicals,,,,,,,1.8,2,3,1,1,1,1,1,3,3,2,
PCM,Building Materials & Fixtures,,,,,,,1.6,1,2,1,1,1,1,4,3,1,1,
PCN,Specialty Chemicals,,,,,,,1.0,1,1,1,1,1,1,1,1,1,1,
PCT,Trucking,,,,,,,1.6,1,2,1,1,5,1,1,1,1,2,
PDB,Building Materials & Fixtures,,,,,,,1.3,1,2,1,1,1,1,1,2,1,2,
PDC,Travel & Tourism,,,,,,,1.3,1,1,1,1,1,1,1,3,2,1,
PDN,Transportation Services,,,,,,,3.0,5,4,1,1,1,4,1,4,4,5,
PDR,Real Estate Holding & Development,,,,,,,4.8,5,4,5,4,5,5,5,5,5,5,
PDV,Marine Transportation,,,,,,,2.3,2,2,1,2,2,5,5,2,1,2,
PEC,Industrial Machinery,,,,,,,1.2,1,1,1,1,1,1,1,2,2,1,
