lmao,ticker,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType
1443,VAT,UPCOM,Viễn thông Vạn Xuân,314.0,9578,Công nghệ Thông tin,Technology,2006.0,45.0,104.0,0.057,http://www.vatel.com.vn,,-0.116,-0.172,-0.282,4.5,4.6,CT
1444,VAV,UPCOM,VIWACO,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2015.0,216.0,100.0,0.022,https://viwaco.vn,2.8,-0.039,0.035,0.014,32.0,32.0,CT
1445,VBB,UPCOM,VietBank,289.0,8355,Ngân hàng,Banks,2011.0,2576.0,410.0,0.0,http://www.vietbank.com.vn,2.8,-0.041,-0.068,-0.25,477.7,477.7,NH
1446,VBC,HNX,Nhựa - Bao bì Vinh,184.0,2723,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1996.0,1036.0,262.0,0.02,http://nhuabaobivinh.com,,-0.025,0.035,0.229,7.5,7.5,CT
1447,VBG,UPCOM,Địa chất Việt Bắc - TKV,166.0,1775,Tài nguyên Cơ bản,Basic Resources,2010.0,432.0,392.0,0.0,http://www.diachatvietbac.vn,,-0.016,0.078,0.343,8.6,8.6,CT
1448,VBH,UPCOM,Điện tử Bình Hòa,186.0,2733,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2006.0,213.0,0.0,0.015,http://www.viettronics-binhhoa.com,,0.512,0.606,0.706,2.9,2.9,CT
1449,VC1,HNX,Xây dựng số 1,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2009.0,121.0,0.0,0.026,http://www.vinaconex1.com.vn,,-0.138,-0.169,-0.205,12.0,12.0,CT
1450,VC2,HNX,Đầu tư và Xây dựng VINA2,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2003.0,295.0,0.0,0.001,http://www.vina2.com.vn,2.5,-0.322,-0.206,-0.409,47.2,47.2,CT
1451,VC3,HNX,Tập đoàn Nam Mê Kông,339.0,8637,Bất động sản,Real Estate,2002.0,132.0,1281.0,0.0,http://www.nammekong.net,2.3,-0.145,-0.121,0.045,100.2,100.2,CT
1452,VC5,UPCOM,Xây dựng Số 5,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2007.0,1012.0,0.0,0.011,http://www.vina5.vn,,-0.016,-0.104,-0.346,5.0,5.0,CT
1453,VC6,HNX,Visicons,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2000.0,261.0,0.0,0.101,http://www.visicons.vn,,-0.251,-0.166,-0.039,8.8,8.8,CT
1454,VC7,HNX,BGI Group,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2001.0,107.0,0.0,0.0,http://www.bgi.vn,1.9,0.148,-0.209,-0.469,48.0,48.0,CT
1455,VC9,HNX,Xây dựng số 9,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2005.0,217.0,834.0,0.026,http://www.vinaconex-9.com.vn,,-0.016,-0.168,-0.234,11.7,12.0,CT
1456,VCA,HOSE,Thép VICASA - VNSTEEL,159.0,1757,Tài nguyên Cơ bản,Basic Resources,2007.0,396.0,732.0,0.085,http://www.vicasasteel.com,3.1,-0.028,-0.189,-0.003,15.2,15.2,CT
1457,VCB,HOSE,Vietcombank,289.0,8355,Ngân hàng,Banks,2008.0,17215.0,26686.0,0.236,http://www.vietcombank.com.vn,3.0,-0.002,0.232,0.351,4732.5,4732.5,NH
1458,VCC,HNX,Vinaconex 25,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2007.0,465.0,478.0,0.0,http://www.vinaconex25.com.vn,1.7,-0.036,0.033,-0.083,12.0,12.0,CT
1459,VCE,UPCOM,Xây lắp Môi trường,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2014.0,40.0,112.0,0.0,http://www.moitruongnhanco.vn,,-0.016,0.078,0.343,5.0,5.0,CT
1460,VCF,HOSE,Vinacafé Biên Hòa,216.0,3537,Thực phẩm và đồ uống,Food & Beverage,2004.0,327.0,390.0,0.007,http://www.vinacafebienhoa.com,3.0,-0.076,-0.01,0.289,26.6,26.6,CT
1461,VCG,HOSE,VINACONEX,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2006.0,6845.0,7864.0,0.032,http://www.vinaconex.com.vn,2.3,0.003,-0.144,-0.324,485.9,485.9,CT
1462,VCI,HOSE,Chứng khoán Bản Việt,300.0,8777,Dịch vụ tài chính,Financial Services,2007.0,189.0,13657.0,0.181,http://www.vcsc.com.vn,2.8,-0.065,-0.24,-0.304,435.5,435.5,CK
1463,VCM,HNX,VINACONEX MEC,196.0,2793,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,1995.0,54.0,656.0,0.08,http://www.vinaconexmec.vn,,0.037,0.063,0.521,3.0,3.0,CT
1464,VCP,UPCOM,Xây dựng và Năng lượng VCP,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004.0,138.0,829.0,0.0,http://www.vinaconexpc.com.vn,2.7,-0.049,0.061,0.156,83.8,83.8,CT
1465,VCR,UPCOM,Vinaconex - ITC,336.0,8633,Bất động sản,Real Estate,2008.0,19.0,2796.0,0.0,https://vinaconexitc.com.vn/,2.1,-0.053,0.014,-0.079,210.0,210.0,CT
1466,VCS,HNX,VICOSTONE,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2005.0,682.0,4400.0,0.03,http://www.vicostone.com,3.0,0.017,-0.138,-0.278,160.0,160.0,CT
1467,VCT,UPCOM,Tư vấn XD Vinaconex,195.0,2791,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2004.0,190.0,0.0,0.0,http://www.vinaconsult.com.vn,,-0.016,0.078,1.505,1.1,1.1,CT
1468,VCW,UPCOM,Đầu tư Nước sạch Sông Đà,277.0,7577,"Điện, nước & xăng dầu khí đốt",Utilities,2009.0,153.0,115.0,0.002,http://www.viwasupco.com.vn,2.8,0.023,0.078,0.464,75.0,75.0,CT
1469,VCX,UPCOM,Xi măng Yên Bình,180.0,2353,Xây dựng và Vật liệu,Construction & Materials,2012.0,348.0,668.0,0.001,http://www.ximangyenbinh.com,,-0.216,-0.458,-0.381,26.5,26.5,CT
1470,VDB,UPCOM,Vận tải và CB Than Đông Bắc,160.0,1771,Tài nguyên Cơ bản,Basic Resources,2012.0,522.0,520.0,0.0,http://www.vtcbdongbac.com.vn,,-0.016,0.078,0.343,8.7,8.7,CT
1471,VDL,HNX,Thực phẩm Lâm Đồng,215.0,3535,Thực phẩm và đồ uống,Food & Beverage,2003.0,197.0,0.0,0.007,http://www.ladofoods.vn,2.4,0.183,0.07,0.355,14.7,14.7,CT
1472,VDN,UPCOM,Vinatex Đà Nẵng,226.0,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2004.0,3022.0,0.0,0.0,http://www.vinatexdn.com.vn,,-0.016,-0.047,0.436,3.0,3.0,CT
1473,VDP,HOSE,Dược phẩm VIDIPHA,238.0,4577,Y tế,Health Care,2003.0,426.0,506.0,0.004,http://www.vidipha.com.vn,3.3,0.054,0.227,0.421,16.8,16.8,CT
1474,VDS,HOSE,Chứng khoán Rồng Việt,300.0,8777,Dịch vụ tài chính,Financial Services,2006.0,330.0,6083.0,0.016,http://www.vdsc.com.vn,2.6,-0.002,-0.12,-0.371,210.0,210.0,CK
1475,VDT,UPCOM,Lưới thép Bình Tây,159.0,1757,Tài nguyên Cơ bản,Basic Resources,1977.0,181.0,0.0,0.0,http://www.luoithepbinhtay.com.vn,,-0.016,0.078,0.615,2.0,2.0,CT
1476,VE1,HNX,VNECO 1,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004.0,38.0,0.0,0.254,http://www.vneco1.com.vn,,-0.068,0.001,-0.183,5.9,6.0,CT
1477,VE2,HNX,Xây dựng Điện VNECO 2,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004.0,35.0,276.0,0.007,http://www.vneco2.com.vn,,-0.016,0.078,-0.201,2.1,2.2,CT
1478,VE3,HNX,Xây dựng điện VNECO 3,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,1988.0,85.0,0.0,0.002,http://www.vneco3.com.vn,,0.041,0.134,-0.054,1.3,1.3,CT
1479,VE4,HNX,Xây dựng điện VNECO4,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,1989.0,108.0,0.0,0.001,http://www.vneco4.com.vn,,0.072,0.238,1.152,1.0,1.0,CT
1480,VE8,HNX,Xây dựng Điện Vneco 8,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2003.0,96.0,0.0,0.008,http://www.vneco8.com.vn,,0.051,-0.016,-0.263,1.8,1.8,CT
1481,VE9,UPCOM,VNECO 9,181.0,2357,Xây dựng và Vật liệu,Construction & Materials,2004.0,6.0,0.0,0.0,http://www.vneco9.com,,-0.016,-0.285,-0.465,12.0,12.5,CT
1482,VEA,UPCOM,Máy động lực và Máy NN,189.0,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010.0,1052.0,1912.0,0.051,http://www.veamcorp.com,3.1,-0.064,-0.009,0.27,1328.8,1328.8,CT
1483,VEC,UPCOM,Điện tử và Tin học VN,311.0,9572,Công nghệ Thông tin,Technology,2007.0,66.0,518.0,0.0,http://www.veic.com.vn,2.8,-0.043,-0.047,-0.05,43.8,43.8,CT
1484,VEF,UPCOM,Triển lãm Việt Nam,255.0,5555,Truyền thông,Media,2011.0,88.0,0.0,0.0,http://www.vefac.vn,1.9,-0.031,-0.247,-0.396,166.6,166.6,CT
