ticker,industryEn,loanDeposit,badLoanGrossLoan,badLoanAsset,provisionBadLoan,financialHealth,netDebtEquity,currentRatio,quickRatio,interestCoverage,netDebtEBITDA
CEG,Heavy Construction,,,,,2.6,4,4,3,1,1
CEN,Broadline Retailers,,,,,3.6,5,5,5,2,1
CEO,Real Estate Holding & Development,,,,,3.8,4,3,3,5,4
CET,Personal Products,,,,,3.4,5,3,3,1,5
CFM,Business Training & Employment Agencies,,,,,3.4,5,5,5,1,1
CFV,Soft Drinks,,,,,4.0,4,5,5,1,5
CGV,Building Materials & Fixtures,,,,,2.0,4,2,2,1,1
CH5,Heavy Construction,,,,,2.8,5,3,4,1,1
CHC,Building Materials & Fixtures,,,,,1.8,2,3,2,1,1
CHP,Conventional Electricity,,,,,4.4,4,4,5,4,5
CHS,Multiutilities,,,,,4.2,5,5,5,1,5
CI5,Heavy Construction,,,,,2.4,4,3,3,1,1
CIA,Transportation Services,,,,,4.0,5,4,5,1,5
CID,Heavy Construction,,,,,3.4,5,5,5,1,1
CIG,Heavy Construction,,,,,2.4,2,2,2,1,5
CII,Heavy Construction,,,,,1.8,2,2,2,2,1
CIP,Heavy Construction,,,,,1.6,1,2,3,1,1
CJC,Electronic Equipment,,,,,2.4,2,3,3,3,1
CKA,Industrial Machinery,,,,,3.2,4,5,5,1,1
CKD,Industrial Machinery,,,,,3.6,4,4,4,5,1
CKG,Real Estate Services,,,,,3.2,2,5,3,5,1
CKV,Telecommunications Equipment,,,,,4.4,5,3,4,5,5
CLC,Tobacco,,,,,4.4,4,5,3,5,5
CLG,Real Estate Holding & Development,,,,,2.8,2,3,3,1,5
CLH,Building Materials & Fixtures,,,,,4.4,5,3,4,5,5
CLL,Transportation Services,,,,,5.0,5,5,5,5,5
CLM,Coal,,,,,4.0,4,3,3,5,5
CLW,Water,,,,,4.2,4,3,4,5,5
CLX,Food Products,,,,,4.8,4,5,5,5,5
CMC,Automobiles,,,,,2.0,2,3,2,2,1
CMD,Building Materials & Fixtures,,,,,4.8,4,5,5,5,5
CMF,Food Products,,,,,4.6,5,4,4,5,5
CMG,Computer Services,,,,,4.2,4,3,4,5,5
CMI,Building Materials & Fixtures,,,,,1.8,5,1,1,1,1
CMK,Industrial Machinery,,,,,1.6,1,2,3,1,1
CMM,Food Products,,,,,3.0,3,3,3,5,1
CMN,Food Products,,,,,4.2,5,5,5,1,5
CMP,Transportation Services,,,,,3.0,4,3,4,1,3
CMS,Heavy Construction,,,,,4.8,5,5,5,5,4
CMT,Software,,,,,3.4,3,3,3,5,3
CMV,Broadline Retailers,,,,,3.8,4,4,3,5,3
CMW,Water,,,,,3.8,4,2,3,5,5
CMX,Farming & Fishing,,,,,3.4,3,4,3,4,3
CNA,Farming & Fishing,,,,,2.4,5,2,3,1,1
CNC,Pharmaceuticals,,,,,4.4,5,4,3,5,5
CNG,Gas Distribution,,,,,4.4,5,3,4,5,5
CNN,Heavy Construction,,,,,2.0,3,2,3,1,1
CNT,Heavy Construction,,,,,3.6,5,3,4,1,5
