ticker,industryEn,loanDeposit,badLoanGrossLoan,badLoanAsset,provisionBadLoan,financialHealth,netDebtEquity,currentRatio,quickRatio,interestCoverage,netDebtEBITDA
DLD,,,,,,3.2,4,3,4,2,3
DLG,,,,,,3.2,3,3,3,3,3
DLR,,,,,,3.6,4,4,4,3,4
DLT,,,,,,3.2,4,3,4,2,3
DM7,,,,,,3.4,4,4,4,3,3
DMC,,,,,,3.6,4,4,4,3,3
DMN,,,,,,3.4,4,3,3,3,3
DNA,,,,,,3.8,4,4,4,4,4
DNC,,,,,,3.8,4,4,4,4,4
DND,,,,,,3.0,4,3,3,2,3
DNE,,,,,,3.5,4,4,4,3,3
DNH,,,,,,3.8,4,4,4,4,4
DNL,,,,,,3.5,4,4,4,3,3
DNM,,,,,,3.6,4,4,4,3,3
DNN,,,,,,3.8,4,4,4,4,4
DNP,,,,,,3.0,4,3,3,2,3
DNT,,,,,,3.2,4,3,4,2,3
DNW,,,,,,3.8,4,4,4,4,4
DOC,,,,,,3.7,4,4,4,3,4
DOP,,,,,,3.5,4,4,4,3,3
DP1,,,,,,3.6,4,4,4,3,3
DP2,,,,,,3.6,4,4,4,3,3
DP3,,,,,,3.6,4,4,4,3,3
DPC,,,,,,3.5,4,4,4,3,3
DPD,,,,,,3.7,4,4,4,3,4
DPG,,,,,,3.0,4,3,3,2,3
DPH,,,,,,3.6,4,4,4,3,3
DPM,,,,,,3.7,4,4,4,3,4
DPP,,,,,,3.6,4,4,4,3,3
DPR,,,,,,3.7,4,4,4,3,4
DPS,,,,,,3.2,3,3,3,3,3
DQC,,,,,,3.4,4,4,4,3,3
DRC,,,,,,3.1,3,3,3,3,3
DRG,,,,,,3.7,4,4,4,3,4
DRH,,,,,,3.6,4,4,4,3,4
DRI,,,,,,3.7,4,4,4,3,4
DRL,,,,,,3.8,4,4,4,4,4
DS3,,,,,,3.5,4,4,4,3,3
DSC,,1,2,3,2,4.1,4,5,5,4,4
DSD,,,,,,3.2,4,3,4,2,3
DSG,,,,,,3.0,4,3,3,2,3
DSN,,,,,,3.2,4,3,4,2,3
DSP,,,,,,3.2,4,3,4,2,3
DST,,,,,,3.7,5,4,4,3,3
DSV,,,,,,3.5,4,4,4,3,3
DTA,,,,,,3.6,4,4,4,3,4
DTB,,,,,,3.5,4,4,4,3,3
DTC,,,,,,3.0,4,3,3,2,3
DTD,,,,,,3.0,4,3,3,2,3
DTE,,,,,,3.8,4,4,4,4,4
DTG,,,,,,3.6,4,4,4,3,3
DTH,,,,,,3.6,4,4,4,3,3
DTI,,,,,,3.2,4,3,4,2,3
DTK,,,,,,3.8,4,4,4,4,4
DTL,,,,,,3.2,3,3,3,3,3
DTN,,,,,,3.4,4,4,4,3,3
DTP,,,,,,3.6,4,4,4,3,3
DTT,,,,,,3.7,4,4,4,3,4
DTV,,,,,,3.8,4,4,4,4,4
DUS,,,,,,3.5,4,4,4,3,3
DVC,,,,,,3.5,4,4,4,3,3
DVG,,,,,,3.0,4,3,3,2,3
DVM,,,,,,3.6,4,4,4,3,3
DVN,,,,,,3.6,4,4,4,3,3
DVP,,,,,,3.5,4,4,4,3,3
DVW,,,,,,3.0,4,3,3,2,3
DWC,,,,,,3.8,4,4,4,4,4
DWS,,,,,,3.8,4,4,4,4,4
DXG,,,,,,3.6,4,4,4,3,4
DXL,,,,,,3.2,4,3,4,2,3
DXP,,,,,,3.5,4,4,4,3,3
DXS,,,,,,3.6,4,4,4,3,4
DXV,,,,,,3.0,4,3,3,2,3
DZM,,,,,,3.5,4,4,4,3,3
E12,,,,,,3.0,4,3,3,2,3
E29,,,,,,3.0,4,3,3,2,3
EBS,,,,,,3.7,5,4,4,3,3
ECI,,,,,,3.7,5,4,4,3,3
EFI,,,,,,3.6,4,4,4,3,4
EIB,,2,3,4,3,3.0,,,,,
EIC,,,,,,3.0,4,3,3,2,3
EID,,,,,,3.7,5,4,4,3,3
EIN,,,,,,3.2,4,3,4,2,3
ELC,,,,,,3.5,4,4,4,3,3
EMC,,,,,,3.5,4,4,4,3,3
EME,,,,,,3.5,4,4,4,3,3
EMG,,,,,,3.5,4,4,4,3,3
EMS,,,,,,3.5,4,4,4,3,3
EPC,,,,,,3.4,4,3,3,3,3
EPH,,,,,,3.7,5,4,4,3,3
EVE,,,,,,3.4,4,4,4,3,3
EVF,,1,2,3,2,4.1,4,5,5,4,4
EVG,,,,,,3.0,4,3,3,2,3
EVS,,1,2,3,2,4.1,4,5,5,4,4
FBA,,,,,,3.4,4,4,4,3,3
FBC,,,,,,3.5,4,4,4,3,3
FCC,,,,,,3.4,4,3,3,3,3
FCM,,,,,,3.0,4,3,3,2,3
FCN,,,,,,3.0,4,3,3,2,3
FCS,,,,,,3.4,4,3,3,3,3
FDC,,,,,,3.6,4,4,4,3,4
FGL,,,,,,3.4,4,3,3,3,3
FHN,,,,,,3.4,4,4,4,3,3
FHS,,,,,,3.7,5,4,4,3,3
FIC,,,,,,3.0,4,3,3,2,3
FID,,,,,,3.6,4,4,4,3,4
FIR,,,,,,3.6,4,4,4,3,4
FIT,,1,2,3,2,4.1,4,5,5,4,4
FLC,,,,,,3.6,4,4,4,3,4
FMC,,,,,,3.4,4,3,3,3,3
FOC,,,,,,3.7,5,4,4,3,3
FOX,,,,,,4.3,4,4,5,4,4
FPT,,,,,,3.5,4,4,4,3,3
FRC,,,,,,3.2,3,3,3,3,3
FRM,,,,,,3.2,3,3,3,3,3
FRT,,,,,,3.4,4,4,4,3,3
FSO,,,,,,3.5,4,4,4,3,3
FT1,,,,,,3.5,4,4,4,3,3
FTI,,,,,,3.1,3,3,3,3,3
FTM,,,,,,3.4,4,4,4,3,3
FTS,,1,2,3,2,4.1,4,5,5,4,4
FUCTVGF4,,1,2,3,2,4.1,4,5,5,4,4
FUEDCMID,,1,2,3,2,4.1,4,5,5,4,4
FUEKIV30,,1,2,3,2,4.1,4,5,5,4,4
FUESSV30,,1,2,3,2,4.1,4,5,5,4,4
FUESSVFL,,1,2,3,2,4.1,4,5,5,4,4
FUEVN100,,1,2,3,2,4.1,4,5,5,4,4
G20,,,,,,3.4,4,4,4,3,3
G36,,,,,,3.0,4,3,3,2,3
GAB,,,,,,3.0,4,3,3,2,3
GAS,,,,,,3.8,4,4,4,4,4
GCB,,,,,,3.8,4,4,4,4,4
GDT,,,,,,3.4,4,4,4,3,3
GDW,,,,,,3.8,4,4,4,4,4
GE2,,,,,,3.8,4,4,4,4,4
GEE,,,,,,3.5,4,4,4,3,3
GEG,,,,,,3.8,4,4,4,4,4
GER,,,,,,3.7,4,4,4,3,4
GEX,,,,,,3.5,4,4,4,3,3
GGG,,,,,,3.1,3,3,3,3,3
GH3,,,,,,3.0,4,3,3,2,3
GHC,,,,,,3.8,4,4,4,4,4
GIC,,,,,,3.5,4,4,4,3,3
GIL,,,,,,3.4,4,4,4,3,3
GKM,,,,,,3.0,4,3,3,2,3
GLC,,,,,,3.2,3,3,3,3,3
GLT,,,,,,3.4,4,4,4,3,3
GLW,,,,,,3.8,4,4,4,4,4
GMA,,,,,,3.5,4,4,4,3,3
GMC,,,,,,3.4,4,4,4,3,3
GMD,,,,,,3.5,4,4,4,3,3
GMH,,,,,,3.0,4,3,3,2,3
GMX,,,,,,3.0,4,3,3,2,3
GND,,,,,,3.0,4,3,3,2,3
GSM,,,,,,3.8,4,4,4,4,4
GSP,,,,,,3.5,4,4,4,3,3
