,result
1164,-1944
1165,-1
1166,-1
1167,-22
1168,-3
1169,22
1170,324
1171,-9
1172,78
1173,0
1174,96
1175,15
1176,-285
1177,-35
1178,-114
1179,-5
1180,28
1181,-8
1182,31
1183,-1
1184,249
1185,-77
1186,0
1187,0
1188,-3
1189,0
1190,2
1191,-11
1192,-7
1193,5
1194,0
1195,0
1196,-7
1197,-70
1198,0
1199,8
1200,-1
1201,0
1202,-1052
1203,-2
1204,6
1205,-15
1206,0
1207,-38
1208,-41
1209,4
1210,-91
1211,-192
1212,0
1213,0
1214,0
1215,1
1216,7
1217,-5
1218,-2
1219,16
1220,4
1221,0
1222,0
1223,0
1224,-8
1225,-27
1226,0
1227,0
1228,54
1229,0
1230,34
1231,-1
1232,-95
1233,20
1234,-1
1235,-5
1236,-15
1237,0
1238,0
1239,10
1240,0
1241,-25
1242,7
1243,-1
1244,-2
1245,51
1246,-9
1247,9
1248,0
1249,271
1250,0
1251,0
1252,-13
1253,293
1254,0
1255,-2
1256,-6
1257,-3
1258,-55
1259,0
1260,-8
1261,0
1262,0
1263,4
1264,-1
1265,-1
1266,0
1267,-1
1268,0
1269,-1
1270,4
1271,399
1272,-13
1273,12
1274,18
1275,-62
1276,-38
1277,-1
1278,0
1279,0
1280,-209
1281,-70
1282,127
1283,-1
1284,-3
1285,-2
1286,0
1287,5
1288,62
1289,-1
1290,-38
1291,-1
1292,-52
1293,7
1294,0
1295,-1
1296,1
1297,-196
1298,-1
1299,1070
1300,12
1301,24
1302,48
1303,0
1304,29
1305,121
1306,3
1307,-37
1308,0
1309,0
1310,81
1311,0
1312,-67
1313,-76
1314,0
1315,-9
1316,-51
1317,-2
1318,5
1319,0
1320,0
1321,34
1322,13
1323,-4
1324,-3
1325,-708
1326,-516
1327,-3
1328,-3
1329,0
1330,0
1331,74
1332,-208
1333,0
1334,154
1335,53
1336,-83
1337,-12
1338,-14
1339,-14
1340,-41
1341,-6
1342,40
1343,61
1344,8
1345,0
1346,0
1347,-12
1348,1
1349,-1
1350,-5
1351,-14
1352,-45
1353,0
1354,-1783
1355,-116
1356,0
1357,0
1358,-1420
1359,-559
1360,-9
1361,-14
1362,-9
1363,-12
1364,0
1365,2
1366,0
1367,-4
1368,1
1369,0
1370,0
1371,2
1372,52
1373,-2
1374,48
1375,97
1376,0
1377,-10
1378,0
1379,0
1380,42
1381,-2
1382,-2259
1383,46
1384,-11
1385,-1
1386,0
1387,-4
1388,480
1389,-25
1390,8
1391,-49
1392,-1
1393,0
1394,-405
1395,79
1396,2
1397,-6
1398,-9
1399,10
1400,5
1401,-104
1402,-212
1403,49
1404,335
1405,-4
1406,-1
1407,-1
1408,-4
1409,0
1410,39
1411,116
1412,-1
1413,0
1414,15
1415,-92
1416,0
1417,35
1418,-2
1419,0
1420,-6
1421,0
1422,0
1423,-4
1424,-1
1425,0
1426,0
1427,0
1428,-2
1429,-3
1430,22
1431,-28
1432,-85
1433,0
1434,0
1435,-14
1436,45
1437,0
1438,15
1439,1
1440,905
1441,0
1442,-4
1443,0
1444,0
1445,253
1446,0
1447,-14
1448,-20
1449,58
1450,-9
1451,1496
1452,2
1453,0
1454,-37
1455,0
1456,-62
1457,0
1458,-10
1459,239
1460,-1
1461,7
1462,300
1463,-159
1464,0
1465,0
1466,25
1467,2
1468,200
1469,-6
1470,0
1471,2
1472,-435
1473,0
1474,-1
1475,0
1476,3
1477,0
1478,0
1479,0
1480,-7
1481,0
1482,26
1483,0
1484,-20
1485,-24
1486,-13
1487,3
1488,-59
1489,8
1490,649
1491,-4
1492,6
1493,-398
1494,-19
1495,-3
1496,-24
1497,2
1498,0
1499,191
1500,-218
1501,0
1502,0
1503,178
1504,-40
1505,-11
1506,0
1507,4
1508,0
1509,4
1510,0
1511,240
1512,0
1513,7
1514,62
1515,21
1516,0
1517,0
1518,0
1519,85
1520,-4
1521,0
1522,-118
1523,0
1524,-908
1525,-24
1526,0
1527,-52
1528,97
1529,-150
1530,19
1531,227
1532,4
1533,-18
1534,-6
1535,0
1536,-69
1537,30
1538,0
1539,910
1540,-2
1541,68
1542,0
1543,0
1544,0
1545,0
1546,0
1547,-1
1548,2
1549,0
1550,-259
1551,-43
1552,0
1553,427
1554,65
1555,-447
1556,-17
1557,-6
1558,-1
1559,-2
1560,25
1561,-46
1562,0
1563,0
1564,427
1565,1
1566,0
1567,-6
1568,-1784
1569,35
1570,-1
1571,-1
1572,-2
1573,23
1574,2
1575,0
1576,0
1577,241
1578,-34
1579,0
1580,-1
1581,0
1582,0
1583,171
1584,48
1585,0
1586,2
1587,0
1588,-752
1589,-27
1590,-40
1591,0
1592,28
1593,3680
1594,0
1595,0
1596,16
1597,137
1598,-8
1599,39
1600,-1
1601,0
1602,0
1603,-7
1604,-1
1605,17
1606,2
1607,-1
1608,0
1609,0
1610,-1
1611,5
1612,398
1613,-3
1614,-1
1615,183
1616,0
1617,0
1618,0
1619,0
1620,-49
1621,0
1622,0
1623,10
1624,7
1625,123
1626,-1
1627,-44
1628,1
1629,10
1630,0
1631,24
1632,0
1633,-313
1634,-1
1635,-33
1636,3
1637,1
1638,3
1639,-1
1640,587
1641,-243
1642,-115
1643,54
1644,0
1645,-1
1646,28
1647,-9
1648,5187
1649,-187
1650,-1
1651,-1
1652,163
1653,26
1654,83
1655,0
1656,-113
1657,0
1658,169
1659,-1
1660,-286
1661,-2
1662,0
1663,-22
1664,50
1665,0
1666,-2
1667,0
1668,-24
1669,0
1670,-207
1671,2994
1672,0
1673,0
1674,0
1675,0
1676,55
1677,-342
1678,0
1679,-4
1680,-38
1681,-1
1682,0
1683,39
1684,-25
1685,-70
1686,0
1687,0
1688,-11
1689,0
1690,-15
1691,-24
1692,-68
1693,91
1694,-4
1695,223
1696,-16
1697,53
1698,-35
1699,0
1700,-277
1701,0
1702,-3
1703,4
1704,0
1705,-134
1706,0
1707,0
1708,0
1709,-2
1710,-2
1711,-2
1712,170
1713,0
1714,-1
1715,24
1716,-12
1717,-41
1718,8
1719,23
1720,12
1721,0
1722,1369
1723,0
1724,-23
1725,-349
1726,0
1727,0
1728,-110
1729,-3
1730,-13
1731,-2
1732,-7
1733,60
1734,-28
1735,2
1736,0
1737,527
1738,34
1739,624
1740,12
1741,0
1742,3
